"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","1.3874","1.3040","1.4032","1.2992","","6.31%"
"03/01/2004","1.3051","1.2933","1.3787","1.2863","","0.98%"
"02/01/2004","1.2924","1.3096","1.3226","1.2473","","-1.28%"
"01/01/2004","1.3092","1.3277","1.3333","1.2791","","-1.56%"
"12/01/2003","1.3300","1.3808","1.3827","1.3261","","-3.61%"
"11/01/2003","1.3798","1.4132","1.4365","1.3765","","-2.27%"
"10/01/2003","1.4119","1.4695","1.4789","1.4065","","-3.93%"
"09/01/2003","1.4697","1.5451","1.5768","1.4554","","-4.83%"
"08/01/2003","1.5443","1.5415","1.5737","1.5094","","0.14%"
"07/01/2003","1.5421","1.4841","1.5527","1.4599","","3.87%"
"06/01/2003","1.4847","1.5375","1.5433","1.4819","","-2.88%"
"05/01/2003","1.5287","1.5959","1.5990","1.5088","","-4.17%"
"04/01/2003","1.5953","1.6529","1.6879","1.5946","","-3.60%"
"03/01/2003","1.6549","1.6450","1.7005","1.6168","","0.72%"
"02/01/2003","1.6430","1.7039","1.7174","1.6415","","-3.48%"
"01/01/2003","1.7023","1.7771","1.7811","1.6821","","-4.47%"
"12/01/2002","1.7820","1.7828","1.8007","1.7562","","-0.09%"
"11/01/2002","1.7836","1.8038","1.8046","1.7606","","-1.02%"
"10/01/2002","1.8020","1.8430","1.8513","1.7864","","-2.24%"
"09/01/2002","1.8432","1.8175","1.8538","1.8051","","1.53%"
"08/01/2002","1.8154","1.8430","1.9125","1.8012","","-1.36%"
"07/01/2002","1.8404","1.7746","1.8711","1.7495","","3.71%"
"06/01/2002","1.7745","1.7599","1.7997","1.7247","","0.68%"
"05/01/2002","1.7626","1.8553","1.8717","1.7544","","-5.08%"
"04/01/2002","1.8569","1.8748","1.9017","1.8315","","-0.92%"
"03/01/2002","1.8742","1.9309","1.9359","1.8657","","-3.10%"
"02/01/2002","1.9341","1.9670","1.9788","1.9231","","-1.74%"
"01/01/2002","1.9683","1.9592","1.9796","1.8957","","0.55%"
"12/01/2001","1.9575","1.9146","1.9847","1.9135","","2.15%"
"11/01/2001","1.9163","1.9861","1.9898","1.9026","","-3.56%"
"10/01/2001","1.9871","2.0284","2.0410","1.9331","","-2.39%"
"09/01/2001","2.0357","1.8921","2.0744","1.8904","","7.78%"
"08/01/2001","1.8887","1.9608","1.9689","1.8532","","-3.72%"
"07/01/2001","1.9617","1.9550","1.9953","1.9128","","0.33%"
"06/01/2001","1.9552","1.9724","1.9854","1.8850","","-1.09%"
"05/01/2001","1.9768","1.9493","1.9874","1.8783","","1.28%"
"04/01/2001","1.9518","2.0563","2.0939","1.9231","","-5.27%"
"03/01/2001","2.0604","1.8879","2.0634","1.8861","","8.15%"
"02/01/2001","1.9051","1.9091","1.9051","1.9091","","4.77%"
"01/01/2001","1.8184","1.8215","1.8184","1.8215","","1.32%"
"12/01/2000","1.7947","1.7989","1.7947","1.7989","","-5.37%"
"11/01/2000","1.8966","1.9004","1.8966","1.9004","","-1.58%"
"10/01/2000","1.9270","1.9312","1.9270","1.9312","","4.45%"
"09/01/2000","1.8449","1.8464","1.8449","1.8464","","6.46%"
"08/01/2000","1.7330","1.7319","1.7330","1.7319","","0.43%"
"07/01/2000","1.7255","1.7277","1.7255","1.7277","","3.24%"
"06/01/2000","1.6714","1.6661","1.6714","1.6661","","-4.51%"
"05/01/2000","1.7504","1.7532","1.7504","1.7532","","2.17%"
"04/01/2000","1.7132","1.7129","1.7132","1.7129","","4.02%"
"03/01/2000","1.6470","1.6474","1.6470","1.6474","","1.55%"
"02/01/2000","1.6219","1.6273","1.6219","1.6273","","3.35%"
"01/01/2000","1.5694","1.5679","1.5694","1.5679","","2.81%"
